,경매구분코드,경매구분코드명,도매시장법인코드,산지코드,산지명2,경락일자,거래량,도매시장법인명,거래가격,출하구분코드,출하구분명,일련번호,포장상태코드,포장상태명,산지명,등급코드,품종명,거래규격단위코드,거래단위명,도매시장코드,도매시장명,경매시간
78665,1,경매,25000101,535000,전라남도 신안군,20200302,258,농협대전(공),1680,3.0,개별,00040,1ZZ,기타,전라남도 신안군,11,대파(일반),12,kg,250001,대전오정도매시장,
78648,1,경매,24000403,539804,,20200302,130,호남청과,1000,3.0,개별,00001,107,파렛트,전라남도 진도군,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 06:53:52
78627,1,경매,24000402,422705,,20200302,100,두레청과,1400,2.0,계통,00002,111,단,경기도 부천시,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 05:11:18
78645,1,경매,24000403,561340,,20200302,130,호남청과,1000,3.0,개별,00004,107,파렛트,전라북도 전주시,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:15:33
78628,1,경매,24000402,565810,,20200302,190,두레청과,1900,1.0,협동,00001,111,단,전라북도 완주군,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 05:11:29
78629,1,경매,24000402,565920,,20200302,140,두레청과,1700,3.0,개별,00001,111,단,전라북도 완주군,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 05:11:41
78630,1,경매,24000402,539844,,20200302,115,두레청과,1400,3.0,개별,00001,111,단,전라남도 진도군,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 06:23:24
78660,1,경매,25000101,363000,충청북도 청원군,20200302,130,농협대전(공),2930,2.0,계통,00060,1ZZ,기타,충청북도 청주시,11,대파(일반),12,kg,250001,대전오정도매시장,
78631,1,경매,24000402,536830,,20200302,305,두레청과,1000,3.0,개별,00001,111,단,전라남도 해남군,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 06:23:58
78633,1,경매,24000402,527810,,20200302,12,두레청과,8000,1.0,협동,00001,101,상자,전라남도 강진군,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 06:33:27
78634,1,경매,24000403,561340,,20200302,100,호남청과,1500,3.0,개별,00001,107,파렛트,전라북도 전주시,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:11:29
78635,1,경매,24000403,561340,,20200302,100,호남청과,1500,3.0,개별,00002,107,파렛트,전라북도 전주시,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:11:34
78636,1,경매,24000403,513807,,20200302,100,호남청과,1300,3.0,개별,00001,107,파렛트,전라남도 영광군,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:12:10
78637,1,경매,24000403,513807,,20200302,100,호남청과,1300,3.0,개별,00002,107,파렛트,전라남도 영광군,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:12:17
